
Name                                                                            Value
Vormetric.VormetricTransparentEncryptionAgent                                   5.2.339.0
Microsoft.Sentinel.SapAgentExtensions.MicrosoftSapAgent                         0.0.7
Microsoft.HpcCompute.InfiniBandDriverWindows                                    1.8.0.0
Microsoft.AzureStack.Observability.TelemetryAndDiagnostics                      2.0.30.0
Microsoft.Compute.BGInfo                                                        2.2.5
Microsoft.SqlServer.Management.SqlIaaSAgentLinux                                1.0.6.367
Tenable.NessusAgent.Windows                                                     1.0.1.8
Microsoft.Azure.Batch.BatchLinux                                                1.0.201239
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL8                                   1.0.25.317
Acronis.Backup.AcronisBackup                                                    1.0.51
KevlarExtensions.M365SecurityInventory.SecurityInventoryExtension               1.14.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode-PrivateTest    2.1.1.0
Microsoft.Azure.Extensions.Edp.GATestExtGo                                      1.2.0.0
Microsoft.Azure.Migrate.AzureMigrateCollectorForLinux                           1.0.0.15
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode                2.5.0.0
Microsoft.ManagedServices.Edp.ApplicationHealthLinux                            2.0.12
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU2404                              1.0.25.317
Microsoft.VisualStudio.Azure.RemoteDebug.VS2013Debugger                         1.0.0.2
Microsoft.AKS.Compute.AKS.Linux.Billing                                         1.0.0
Microsoft.AKS.Compute.AKS.Linux.AKSNode                                         1.364
Microsoft.CloudBackup.Workload.Extension.Edp.WorkloadBackupLinux                1.0.0.120
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU1804                              1.0.25.317
Microsoft.Azure.RecoveryServices.WorkloadBackup.AzureBackupWindowsWorkload      1.1.0.119
Microsoft.Azure.RecoveryServices.WorkloadBackup.WorkloadDiagnosticLinux         1.4.0.0
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNodeLinux                       1.1.0.0
Microsoft.OSTCExtensions.CustomScriptForLinux                                   1.5.4
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNodeLinux-Test             1.0.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMigration-Test        1.0.0.1
Qualys.QualysAgent                                                              3.1.3.34
Symantec.CloudWorkloadProtection.TestOnStage.SCWPAgentForWindowsTestOnStage     1.8.0.0
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN7                     1.0.0.9256
Microsoft.CPlat.Core.Edp.VMApplicationManagerLinux                              1.0.12
Microsoft.HpcPack.HPCComputeNode                                                16.3.8322.0
Microsoft.CPlat.Core.RunCommandHandlerLinux                                     1.3.18
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcBootstrapAlsantam              1.4.0.4
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMi2                   1.2.0.0
Microsoft.Azure.RecoveryServices.SiteRecovery.Linux                             1.0.0.9256
Microsoft.Azure.Geneva.GenevaMonitoringARM64                                    2.54.0.4
Microsoft.Azure.Security.Monitoring.AzureSecurityWindowsAgent                   1.8.0.76
Microsoft.Azure.Security.IaaSAntimalware                                        1.7.0.43
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU2004                  1.0.0.9256
TrendMicro.DeepSecurity.TrendMicroDSA                                           10.0.0.107
Microsoft.CPlat.ProxyAgent.ProxyAgentWindowsTest                                1.0.36
Microsoft.M365Security.Kevlar.Test.TestExtension                                1.0.0.1
Microsoft.Test.Azure.Workloads.MonitoringExtensionLinux                         1.0.94.12
Microsoft.EnterpriseCloud.Monitoring.OmsAgentForLinux                           1.19.0
Microsoft.Azure.RecoveryServices.SiteRecovery.SiteRecovery                      0.0.0.0
Microsoft.Azure.SCOMMI.GatewayServer.Test                                       1.0.0.52
Microsoft.Azure.OpenSSH.WindowsOpenSSH                                          3.0.1.0
Microsoft.Azure.Diagnostics.IaaSDiagnostics                                     1.22.0.1
Microsoft.HpcCompute.NvidiaGpuDriverLinux                                       1.13.0.2
ESET.FileSecurity                                                               7.2.12004.1002
KevlarExtensions.M365SecurityHostIDS.HostIDSExtension                           1.80.0.0
Microsoft.Azure.Monitor.VirtualMachines.GuestHealth.GuestHealthWindowsAgent     1.0.54
Microsoft.Azure.Extensions.CustomScript                                         2.1.13
OctopusDeploy.Tentacle.OctopusDeployWindowsTentacle                             2.0.207
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN8                                 1.5.25.333
Test.TrendMicro.DeepSecurity.TrendMicroDSA                                      10.0.0.10705
